ability_id,card_id,trigger,target_rule,value,mana_cost,hp_cost,discard_cost,uses_per_turn,effect_set_id,condition_triggerer_trait,condition_triggerer_trait_value,chain_next,status_type,status_value,status_duration
vc5_slime_combo_extra,额外连打,None,LastTargeted,0,0,0,0,0,effect_damage_1_plus_selected_attack,,,0,0,caster_trait_selected_is_slime_ge_1,,
vc5_slime_pool_play,放置粘液池,OnPlay,PlayTarget,0,0,0,0,0,effect_summon_slime_pool_duration_2_3,,,,,empty_slot|range2_from_any_ally,
vc5_slime_spray_pick,选择施法者,OnPlay,SelectTarget,0,0,0,0,0,effect_store_selected_unit_stats,,,,,ally_card,vc5_slime_spray_hit
vc5_slime_spray_hit,粘液喷射,None,SelectTarget,0,0,0,0,0,,slime,2,0,,any_card|range_from_triggerer_1,
vc5_slime_attach_pick,选择施法者,OnPlay,SelectTarget,0,0,0,0,0,effect_store_selected_unit_stats,,,,,ally_card,vc5_slime_attach_hit
vc5_slime_attach_hit,粘液附着,None,SelectTarget,0,0,0,1,0,effect_apply_slime_and_root,,,,,any_card|range_from_triggerer_1,
vc5_slime_split,黏黏分裂,OnPlay,SelectTarget,0,0,0,0,0,effect_summon_from_target_slime_div2_min1,,,,,any_card|status_slime_ge_1,
vc5_slime_merge,黏黏合体,OnPlay,SelectTarget,0,0,0,0,0,effect_merge_all_slime_spawn,,,,,ally_card|trait_slime_spawn,
vc5_slime_boom,黏黏爆炸,OnPlay,SelectTarget,0,0,0,0,0,effect_explode_by_current_hp_r1|effect_random_apply_slime_by_target_hp,,,,,ally_card,
vc5_slime_sharpen_pick,选择单位,OnPlay,SelectTarget,0,0,0,1,0,,add_attack,2,1,,ally_card,
vc5_slime_run_pick,选择我方单位,OnPlay,SelectTarget,0,0,0,0,0,effect_store_selected_unit_stats,,,,,ally_card,vc5_slime_run_move
vc5_slime_run_move,移动2格,None,SelectTarget,0,0,0,0,0,effect_move_triggerer_to_slot,,,,,empty_slot|range_from_triggerer_2,
vc5_slime_detonate,粘液引爆,OnPlay,SelectTarget,0,0,0,0,0,effect_damage_repeat_consume_slime_1,,,,,any_card,
