enabled,id,title,series,type,mana,attack,hp,move_range,attack_range,asset_path,notes
1,card_vc5_gear_turret,组装炮台,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_turret.asset,
1,card_vc5_gear_shield_gen,组装护盾发生器,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_shield_gen.asset,
1,card_vc5_gear_repair,组装维修站,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_repair.asset,
1,card_vc5_gear_bomb,组装自爆机器人,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_bomb.asset,
1,card_vc5_gear_cannon,组装蒸汽巨炮,vc5,spell,3,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_cannon.asset,
1,card_vc5_gear_mech,组装巨型机甲,vc5,spell,3,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_mech.asset,
1,card_vc5_gear_armor,强化装甲,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_armor.asset,
1,card_vc5_gear_weapon,强化武器,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_weapon.asset,
1,card_vc5_gear_fix,紧急维修,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_fix.asset,
1,card_vc5_gear_overload,过载指令,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_overload.asset,
1,card_vc5_gear_selfdestruct,自毁程序,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_selfdestruct.asset,
1,card_vc5_gear_upgrade,改造升级,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_gear_upgrade.asset,
1,hero_vc5_rune_elementalist,元素法师,vc5,hero,0,1,11,3,3,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_elementalist.asset,
1,hero_vc5_rune_blade,符文剑士,vc5,hero,0,2,13,4,1,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_blade.asset,
1,hero_vc5_rune_summoner,奥术召唤师,vc5,hero,0,0,12,3,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_summoner.asset,
1,hero_vc5_rune_warden,符文守护者,vc5,hero,0,1,16,2,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_warden.asset,
1,hero_vc5_rune_chronomancer,时空旅者,vc5,hero,0,1,10,4,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_rune_chronomancer.asset,
1,card_vc5_rune_fire,火焰符文,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_fire.asset,
1,card_vc5_rune_water,水流符文,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_water.asset,
1,card_vc5_rune_wind,疾风符文,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_wind.asset,
1,card_vc5_rune_earth,大地符文,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_earth.asset,
1,card_vc5_rune_harmony,元素调和,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_harmony.asset,
1,card_vc5_rune_charge,符文充能,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_charge.asset,
1,card_vc5_rune_wisdom,奥术智慧,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_wisdom.asset,
1,card_vc5_rune_resonance,元素共鸣,vc5,secret,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_resonance.asset,
1,card_vc5_rune_steam,蒸汽爆发,vc5,skill,2,3,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_steam.asset,
1,card_vc5_rune_sandstorm,沙尘暴,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_sandstorm.asset,
1,card_vc5_rune_firestorm,烈焰风暴,vc5,skill,3,4,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_firestorm.asset,
1,card_vc5_rune_swamp,沼泽术,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_swamp.asset,
1,card_vc5_rune_shield,元素护盾,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_shield.asset,
1,card_vc5_rune_burst,元素爆发,vc5,skill,3,5,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_burst.asset,
1,card_vc5_rune_transfer,符文转移,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_transfer.asset,
1,card_vc5_rune_explosion,符文爆发,vc5,skill,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_explosion.asset,
1,card_vc5_rune_armor,符文护甲,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_armor.asset,
1,card_vc5_rune_purify,元素净化,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_purify.asset,
1,card_vc5_rune_copy,符文复制,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_copy.asset,
1,card_vc5_rune_flood,奥术洪流,vc5,spell,3,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_rune_flood.asset,
1,hero_vc5_wild_wolf,狼群领袖,vc5,hero,0,2,12,4,1,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_wolf.asset,
1,hero_vc5_wild_bear,巨熊战士,vc5,hero,0,2,16,3,1,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_bear.asset,
1,hero_vc5_wild_hawk,鹰眼部落,vc5,hero,0,1,10,5,3,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_hawk.asset,
1,hero_vc5_wild_druid,藤蔓德鲁伊,vc5,hero,0,1,13,3,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_druid.asset,
1,hero_vc5_wild_shaman,灵魂萨满,vc5,hero,0,0,14,3,2,Assets/TcgEngine/Resources/Cards/vc5/hero_vc5_wild_shaman.asset,
1,card_vc5_wild_awaken,兽性觉醒,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_awaken.asset,
1,card_vc5_wild_meditate,冥想宁静,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_meditate.asset,
1,card_vc5_wild_roar,战斗怒吼,vc5,spell,0,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_roar.asset,
1,card_vc5_wild_calm,自然安抚,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_calm.asset,
1,card_vc5_wild_blood,血腥味,vc5,secret,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_blood.asset,
1,card_vc5_wild_moon,月光洗礼,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_moon.asset,
1,card_vc5_wild_release,野性释放,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_release.asset,
1,card_vc5_wild_humanity,人性回归,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_humanity.asset,
1,card_vc5_wild_wolf_pup,召唤幼狼,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_wolf_pup.asset,
1,card_vc5_wild_bear,召唤棕熊,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_bear.asset,
1,card_vc5_wild_falcon,召唤猎鹰,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_falcon.asset,
1,card_vc5_wild_snake,召唤蟒蛇,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_snake.asset,
1,card_vc5_wild_pack,野兽军团,vc5,spell,3,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_pack.asset,
1,card_vc5_wild_fusion,野兽融合,vc5,spell,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_fusion.asset,
1,card_vc5_wild_grass,种植草地,vc5,spell,0,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_grass.asset,
1,card_vc5_wild_forest,召唤树林,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_forest.asset,
1,card_vc5_wild_thorns,荆棘之路,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_thorns.asset,
1,card_vc5_wild_heal,自然治愈,vc5,spell,1,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_heal.asset,
1,card_vc5_wild_burst,生态爆发,vc5,skill,2,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_burst.asset,
1,card_vc5_wild_wrath,自然之怒,vc5,spell,3,0,0,0,0,Assets/TcgEngine/Resources/Cards/vc5/card_vc5_wild_wrath.asset,
